,carat,cut,color,clarity,depth,table,price,x,y,z
9600,0.56,Ideal,D,IF,60.8,58.0,4632,5.35,5.31,3.24
9870,0.7,Very Good,E,IF,60.3,59.0,4679,5.72,5.76,3.46
10256,0.81,Ideal,G,IF,62.4,54.0,4751,5.93,5.99,3.72
10494,0.76,Very Good,E,IF,61.9,56.0,4798,5.83,5.85,3.62
10511,0.63,Very Good,D,IF,59.6,59.0,4800,5.55,5.59,3.32
10685,0.82,Very Good,G,IF,61.9,57.0,4844,5.96,6.0,3.7
11017,0.59,Ideal,D,IF,60.9,60.0,4916,5.41,5.39,3.29
11524,0.7,Premium,D,IF,60.0,59.0,5027,5.75,5.81,3.47
12377,0.26,Good,E,IF,59.6,61.0,597,4.13,4.16,2.47
12861,1.11,Good,J,IF,58.3,62.0,5361,6.77,6.84,3.97
13028,0.26,Ideal,H,IF,61.1,57.0,600,4.16,4.12,2.53
13385,0.37,Ideal,J,IF,61.9,54.0,601,4.63,4.68,2.88
13437,1.16,Ideal,J,IF,60.6,56.0,5519,6.79,6.86,4.14
13936,0.9,Very Good,G,IF,63.1,58.0,5670,6.18,6.09,3.87
14045,0.26,Ideal,G,IF,62.2,55.0,605,4.09,4.13,2.55
14046,0.26,Ideal,G,IF,62.5,57.0,605,4.06,4.1,2.55
14181,0.9,Very Good,G,IF,60.1,59.0,5754,6.22,6.26,3.75
14191,0.92,Ideal,H,IF,62.5,55.0,5758,6.25,6.3,3.92
14245,0.9,Good,G,IF,63.1,58.0,5771,6.09,6.18,3.87
14497,0.9,Good,G,IF,61.8,61.0,5855,6.12,6.17,3.8
14549,0.93,Ideal,G,IF,62.2,58.0,5879,6.25,6.22,3.88
15698,0.29,Ideal,H,IF,62.2,55.0,607,4.25,4.28,2.65
15699,0.29,Ideal,H,IF,60.7,57.0,607,4.3,4.33,2.62
15700,0.29,Ideal,H,IF,62.1,55.0,607,4.26,4.29,2.65
15746,1.21,Good,J,IF,62.1,60.0,6299,6.81,6.87,4.25
15844,0.81,Ideal,F,IF,61.5,55.0,6338,5.98,6.05,3.7
16404,0.63,Ideal,D,IF,62.5,55.0,6549,5.47,5.5,3.43
16540,0.63,Ideal,D,IF,62.5,55.0,6607,5.5,5.47,3.43
16763,0.8,Ideal,F,IF,60.8,56.0,6674,5.99,6.05,3.66
16793,1.04,Very Good,H,IF,62.0,55.0,6694,6.51,6.55,4.05
16806,1.01,Premium,H,IF,62.1,59.0,6702,6.47,6.41,4.0
16808,1.05,Good,H,IF,64.3,58.0,6703,6.5,6.35,4.13
17034,0.9,Good,E,IF,63.6,56.0,6804,6.11,6.02,3.86
17043,0.28,Very Good,F,IF,62.2,55.0,612,4.23,4.26,2.64
17056,0.28,Good,E,IF,64.6,58.0,612,4.09,4.12,2.65
17130,0.8,Very Good,D,IF,63.3,57.0,6834,5.85,5.87,3.71
17192,1.18,Very Good,I,IF,63.3,58.0,6867,6.69,6.73,4.25
17326,0.95,Ideal,G,IF,59.8,59.0,6951,6.36,6.43,3.82
17740,1.2,Very Good,I,IF,59.1,61.0,7141,6.91,6.99,4.11
17861,1.19,Ideal,I,IF,61.7,56.0,7207,6.78,6.81,4.19
17887,1.01,Premium,G,IF,61.3,58.0,7220,6.4,6.48,3.95
17918,1.0,Premium,H,IF,60.6,57.0,7235,6.54,6.47,3.94
18053,0.3,Ideal,I,IF,62.0,57.0,615,4.28,4.3,2.66
18054,0.3,Ideal,I,IF,62.5,56.0,615,4.26,4.28,2.67
18113,1.05,Ideal,H,IF,61.2,55.0,7329,6.62,6.59,4.04
18147,1.01,Premium,G,IF,61.3,58.0,7352,6.48,6.4,3.95
18174,1.2,Ideal,I,IF,61.5,56.0,7367,6.79,6.84,4.19
18655,1.3,Premium,I,IF,61.8,58.0,7621,6.95,7.0,4.31
18721,1.17,Very Good,H,IF,59.3,59.0,7644,6.92,6.98,4.12
18785,1.0,Very Good,G,IF,62.2,61.0,7682,6.38,6.41,3.98
18891,0.9,Very Good,E,IF,63.9,55.0,7747,6.05,6.09,3.88
18909,1.3,Premium,I,IF,61.8,58.0,7760,7.0,6.95,4.31
18945,1.21,Ideal,H,IF,61.0,57.0,7789,6.79,6.89,4.17
19000,1.0,Premium,G,IF,62.2,61.0,7822,6.41,6.38,3.98
19001,1.0,Premium,G,IF,61.4,59.0,7822,6.47,6.39,3.95
19124,0.83,Very Good,D,IF,59.7,53.0,7889,6.14,6.23,3.69
19237,1.01,Very Good,G,IF,60.0,61.0,7974,6.41,6.45,3.86
19238,1.01,Very Good,G,IF,63.0,60.0,7974,6.31,6.35,3.99
19279,1.0,Very Good,G,IF,58.3,62.0,8002,6.51,6.57,3.81
19485,1.01,Premium,G,IF,60.0,61.0,8120,6.45,6.41,3.86
19486,1.01,Premium,G,IF,63.0,60.0,8120,6.35,6.31,3.99
19527,1.02,Ideal,G,IF,62.5,57.0,8162,6.37,6.44,4.0
19604,1.04,Very Good,G,IF,61.7,58.0,8225,6.47,6.6,4.03
19657,1.17,Ideal,H,IF,61.0,53.0,8266,6.89,6.85,4.19
19696,0.25,Ideal,G,IF,61.7,56.0,624,4.04,4.1,2.51
19722,1.21,Premium,H,IF,62.2,58.0,8294,6.8,6.83,4.24
19739,1.02,Ideal,G,IF,62.5,57.0,8311,6.44,6.37,4.0
19858,1.06,Very Good,G,IF,61.2,57.0,8415,6.52,6.56,4.0
19880,1.23,Ideal,H,IF,61.3,57.0,8431,6.87,6.92,4.23
19897,1.21,Premium,H,IF,62.2,58.0,8446,6.83,6.8,4.24
19941,1.02,Premium,G,IF,61.8,59.0,8489,6.41,6.46,3.98
20122,1.23,Ideal,H,IF,61.3,57.0,8585,6.92,6.87,4.23
20129,1.1,Very Good,G,IF,60.5,55.0,8592,6.77,6.71,4.08
20165,1.01,Very Good,G,IF,62.8,57.0,8621,6.39,6.42,4.02
20170,1.02,Very Good,G,IF,62.3,59.0,8624,6.36,6.45,3.99
20202,1.02,Premium,G,IF,61.8,59.0,8643,6.46,6.41,3.98
20217,1.09,Very Good,G,IF,62.9,57.0,8650,6.52,6.58,4.12
20224,1.04,Very Good,G,IF,60.7,58.0,8655,6.52,6.65,4.0
20422,1.01,Ideal,G,IF,62.8,57.0,8778,6.42,6.39,4.02
20436,1.22,Very Good,G,IF,62.0,59.0,8793,6.8,6.85,4.23
20471,1.04,Premium,G,IF,60.7,58.0,8813,6.65,6.52,4.0
20518,1.05,Ideal,G,IF,62.5,56.0,8850,6.48,6.52,4.06
20519,1.05,Premium,G,IF,60.6,60.0,8850,6.57,6.59,3.99
20549,1.01,Ideal,G,IF,61.5,58.0,8869,6.44,6.47,3.97
20550,1.01,Ideal,G,IF,60.8,59.0,8869,6.47,6.5,3.94
20560,1.08,Ideal,G,IF,61.3,57.0,8873,6.59,6.62,4.05
20623,1.04,Ideal,G,IF,62.1,54.0,8921,6.53,6.55,4.06
20674,1.02,Ideal,G,IF,62.3,57.0,8955,6.43,6.5,4.03
20676,1.01,Ideal,G,IF,62.2,61.0,8957,6.34,6.4,3.96
20683,1.12,Very Good,G,IF,60.9,57.0,8962,6.68,6.79,4.1
20697,1.12,Good,G,IF,59.6,56.0,8973,6.8,6.85,4.07
20774,1.05,Ideal,G,IF,62.5,56.0,9012,6.52,6.48,4.06
20775,1.05,Premium,G,IF,60.6,60.0,9012,6.59,6.57,3.99
20776,1.05,Very Good,G,IF,58.9,61.0,9013,6.64,6.67,3.92
20804,1.08,Ideal,G,IF,61.3,57.0,9035,6.62,6.59,4.05
20811,1.04,Premium,G,IF,61.3,58.0,9039,6.52,6.43,3.97
20826,1.1,Very Good,G,IF,59.8,56.0,9053,6.75,6.82,4.06
20834,1.01,Very Good,G,IF,61.1,56.0,9063,6.45,6.48,3.95
20912,1.12,Premium,G,IF,60.9,57.0,9126,6.79,6.68,4.1
20970,0.9,Very Good,D,IF,62.4,54.0,9182,6.17,6.21,3.86
21071,1.0,Very Good,F,IF,63.9,56.0,9248,6.31,6.34,4.04
21216,1.07,Ideal,G,IF,61.5,57.0,9361,6.54,6.59,4.04
21269,1.53,Premium,J,IF,61.1,58.0,9424,7.41,7.45,4.54
21279,1.06,Very Good,F,IF,60.6,56.0,9433,6.62,6.69,4.03
21283,1.12,Premium,G,IF,61.2,58.0,9440,6.67,6.7,4.09
21299,1.01,Good,F,IF,62.7,59.0,9451,6.3,6.42,3.99
21411,1.13,Premium,G,IF,61.2,59.0,9525,6.71,6.78,4.13
21424,1.07,Ideal,G,IF,61.5,57.0,9532,6.59,6.54,4.04
21500,1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54
21516,1.12,Premium,G,IF,61.2,58.0,9612,6.7,6.67,4.09
21530,1.01,Premium,F,IF,62.3,57.0,9627,6.5,6.35,4.0
21558,1.0,Good,F,IF,60.7,64.0,9660,6.42,6.4,3.89
21584,1.45,Very Good,I,IF,60.6,61.0,9683,7.32,7.41,4.46
21596,1.13,Premium,G,IF,61.2,59.0,9698,6.78,6.71,4.13
21709,0.27,Ideal,G,IF,61.2,57.0,627,4.17,4.2,2.56
21710,0.27,Ideal,G,IF,62.0,56.0,627,4.14,4.17,2.58
21751,1.12,Very Good,G,IF,61.0,58.0,9820,6.7,6.72,4.09
21765,1.08,Ideal,G,IF,62.3,56.0,9831,6.55,6.59,4.09
21794,1.0,Good,F,IF,63.2,63.0,9867,6.24,6.26,3.95
21835,1.16,Ideal,G,IF,62.3,55.0,9901,6.73,6.79,4.21
21836,1.16,Ideal,G,IF,62.0,57.0,9901,6.7,6.73,4.16
21867,1.11,Ideal,G,IF,61.9,55.0,9931,6.64,6.68,4.12
21896,1.01,Very Good,F,IF,59.6,62.0,9965,6.47,6.56,3.88
21902,1.01,Very Good,F,IF,63.5,59.0,9972,6.29,6.41,4.03
21914,1.2,Very Good,G,IF,59.4,61.0,9987,6.92,6.95,4.12
21959,1.02,Very Good,E,IF,61.7,60.0,10029,6.38,6.52,3.98
21961,1.03,Very Good,F,IF,62.8,57.0,10032,6.4,6.47,4.04
21978,1.0,Very Good,F,IF,63.2,63.0,10046,6.26,6.24,3.95
21986,1.11,Ideal,G,IF,61.2,54.0,10053,6.71,6.73,4.11
21998,1.09,Premium,G,IF,61.3,58.0,10065,6.64,6.6,4.06
22052,1.16,Ideal,G,IF,62.3,55.0,10082,6.79,6.73,4.21
22053,1.16,Ideal,G,IF,62.0,57.0,10082,6.73,6.7,4.16
22118,1.5,Very Good,I,IF,62.9,58.0,10147,7.21,7.31,4.57
22135,1.61,Premium,J,IF,62.1,58.0,10165,7.47,7.53,4.66
22136,1.2,Premium,G,IF,59.4,61.0,10169,6.95,6.92,4.12
22192,1.13,Ideal,G,IF,61.7,57.0,10228,6.65,6.7,4.12
22210,1.04,Very Good,F,IF,63.0,55.0,10264,6.36,6.53,4.06
22259,1.14,Ideal,G,IF,61.1,57.0,10313,6.7,6.76,4.11
22278,1.5,Premium,I,IF,62.9,58.0,10332,7.31,7.21,4.57
22301,1.0,Very Good,F,IF,60.1,57.0,10346,6.45,6.52,3.9
22308,1.61,Premium,J,IF,62.1,58.0,10350,7.53,7.47,4.66
22326,1.16,Ideal,G,IF,59.9,57.0,10368,6.85,6.93,4.13
22395,1.52,Ideal,I,IF,62.2,57.0,10419,7.27,7.33,4.54
22447,1.01,Very Good,F,IF,61.9,59.0,10476,6.38,6.45,3.97
22472,1.2,Very Good,G,IF,60.9,55.0,10497,6.9,6.93,4.21
22481,1.24,Premium,G,IF,60.5,60.0,10508,6.95,6.91,4.19
22485,1.04,Very Good,F,IF,59.8,56.0,10515,6.64,6.71,3.99
22547,1.24,Premium,G,IF,60.5,58.0,10584,6.94,7.0,4.22
22561,1.52,Ideal,I,IF,62.2,57.0,10609,7.33,7.27,4.54
22563,1.03,Ideal,F,IF,63.1,55.0,10615,6.45,6.46,4.07
22612,1.09,Very Good,F,IF,61.1,58.0,10663,6.63,6.69,4.07
22639,1.01,Ideal,F,IF,62.0,58.0,10688,6.41,6.46,3.99
22664,1.02,Very Good,E,IF,63.5,58.0,10710,6.43,6.33,4.05
22765,1.04,Ideal,F,IF,61.8,55.0,10787,6.49,6.56,4.03
22778,1.01,Very Good,F,IF,59.2,60.0,10800,6.48,6.59,3.87
22912,1.0,Very Good,E,IF,63.1,56.0,10954,6.32,6.39,4.01
22928,1.02,Very Good,F,IF,62.5,58.0,10967,6.39,6.54,4.04
22934,1.4,Ideal,H,IF,60.9,57.0,10976,7.22,7.29,4.42
22941,1.04,Ideal,F,IF,61.8,55.0,10984,6.56,6.49,4.03
22948,1.06,Ideal,F,IF,61.0,57.0,10995,6.55,6.64,4.02
22968,1.07,Very Good,F,IF,59.4,59.0,11019,6.64,6.7,3.96
22976,1.05,Premium,E,IF,59.8,59.0,11025,6.65,6.62,3.97
23070,1.22,Premium,G,IF,59.2,58.0,11104,7.02,6.97,4.14
23082,1.34,Ideal,H,IF,60.9,57.0,11109,7.09,7.19,4.35
23085,1.22,Ideal,G,IF,61.7,56.0,11111,6.87,6.91,4.25
23095,1.02,Ideal,F,IF,62.0,58.0,11116,6.44,6.49,4.01
23137,1.27,Ideal,G,IF,61.5,58.0,11157,6.95,6.99,4.29
23150,1.02,Premium,F,IF,62.5,58.0,11167,6.54,6.39,4.04
23188,1.06,Ideal,F,IF,61.0,57.0,11195,6.64,6.55,4.02
23207,1.0,Very Good,E,IF,62.5,55.0,11214,6.28,6.39,3.96
23227,1.1,Ideal,F,IF,62.0,57.0,11233,6.65,6.57,4.1
23263,1.04,Very Good,E,IF,63.6,58.0,11269,6.41,6.43,4.08
23321,1.03,Ideal,F,IF,61.3,56.0,11365,6.53,6.55,4.01
23327,1.28,Ideal,G,IF,60.8,57.0,11372,7.02,7.05,4.28
23330,1.24,Ideal,G,IF,62.4,56.0,11376,6.86,6.89,4.29
23339,1.01,Premium,E,IF,62.6,58.0,11387,6.37,6.44,4.01
23386,0.3,Good,I,IF,63.3,57.0,631,4.23,4.3,2.7
23387,0.3,Good,I,IF,63.3,56.0,631,4.21,4.26,2.68
23411,1.28,Ideal,G,IF,62.0,55.6,11401,6.94,6.96,4.31
23425,1.05,Very Good,F,IF,59.7,55.0,11417,6.66,6.73,4.0
23430,1.02,Very Good,E,IF,58.1,59.0,11420,6.71,6.75,3.91
23441,1.07,Ideal,F,IF,62.0,57.0,11434,6.52,6.57,4.06
23475,1.07,Very Good,E,IF,58.6,63.0,11475,6.7,6.79,3.95
23491,1.01,Premium,E,IF,62.6,58.0,11491,6.44,6.37,4.01
23494,1.02,Ideal,E,IF,62.6,57.0,11500,6.41,6.47,4.03
23503,1.25,Ideal,G,IF,60.2,54.0,11511,6.99,7.03,4.22
23508,1.06,Very Good,E,IF,62.7,58.0,11518,6.48,6.54,4.08
23590,1.02,Ideal,E,IF,62.6,57.0,11605,6.47,6.41,4.03
23603,1.09,Very Good,F,IF,61.4,56.0,11631,6.62,6.68,4.08
23658,1.25,Ideal,G,IF,60.6,57.0,11705,6.97,6.99,4.23
23701,0.3,Premium,I,IF,60.5,59.0,631,4.32,4.34,2.62
23726,0.25,Very Good,F,IF,61.1,54.0,633,4.08,4.11,2.5
23727,0.25,Very Good,E,IF,61.3,56.0,633,4.1,4.13,2.53
23778,1.05,Premium,E,IF,59.0,58.0,11838,6.66,6.7,3.94
23787,1.09,Ideal,F,IF,61.4,55.0,11846,6.61,6.68,4.09
23823,1.09,Ideal,F,IF,61.6,55.0,11888,6.59,6.65,4.08
23855,1.05,Premium,E,IF,59.0,58.0,11946,6.7,6.66,3.94
23912,1.02,Ideal,E,IF,62.2,56.0,12030,6.44,6.38,3.99
24026,1.54,Premium,H,IF,62.5,58.0,12196,7.33,7.38,4.6
24035,0.29,Good,F,IF,56.8,65.0,633,4.37,4.4,2.49
24052,0.31,Ideal,I,IF,60.9,57.0,635,4.39,4.44,2.69
24053,0.31,Ideal,I,IF,61.7,55.0,635,4.36,4.39,2.7
24054,0.31,Ideal,I,IF,60.9,57.0,635,4.37,4.4,2.67
24055,0.31,Ideal,I,IF,62.0,54.0,635,4.38,4.4,2.72
24056,0.31,Ideal,I,IF,62.0,54.0,635,4.36,4.42,2.72
24126,1.51,Very Good,I,IF,62.1,59.0,12291,7.25,7.31,4.52
24127,1.51,Very Good,I,IF,62.2,62.0,12291,7.3,7.33,4.55
24134,1.54,Premium,H,IF,62.5,58.0,12308,7.38,7.33,4.6
24235,1.51,Ideal,H,IF,62.7,56.0,12437,7.26,7.38,4.59
24247,1.14,Ideal,G,IF,59.0,59.0,12458,6.81,6.91,4.05
24256,1.3,Ideal,G,IF,62.3,56.0,12467,6.95,6.99,4.34
24291,1.06,Ideal,F,IF,61.9,55.0,12539,6.54,6.57,4.06
24294,1.13,Premium,F,IF,60.0,58.0,12543,6.78,6.76,4.06
24301,1.13,Premium,F,IF,59.8,60.0,12549,6.82,6.76,4.06
24324,1.01,Very Good,D,IF,63.3,55.0,12581,6.36,6.28,4.0
24401,1.06,Very Good,E,IF,62.4,55.0,12642,6.5,6.54,4.07
24406,1.14,Very Good,E,IF,63.3,57.0,12647,6.63,6.71,4.22
24459,1.13,Premium,F,IF,59.8,60.0,12722,6.82,6.76,4.06
24462,1.5,Ideal,I,IF,61.3,56.0,12725,7.34,7.41,4.52
24569,1.01,Ideal,E,IF,61.4,57.0,12865,6.53,6.46,3.99
24585,1.15,Very Good,E,IF,59.2,57.0,12895,6.78,6.86,4.04
